question,document,score,reasoning
"I just found this course — can I still join it now, or is it too late?",74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: late joining is allowed, but certificate eligibility depends on submitting the project while submissions are still being accepted. This is semantically equivalent."
"If I enroll late, will I still be able to get a certificate somehow?",74eb249bbf,good,"The AI answer preserves the key point: late enrollment can still lead to a certificate if the project is submitted while submissions are open. It adds extra constraints about finishing with the live cohort and not getting a certificate in self-paced mode, which are not in the ground truth and may be unsupported. However, these additions do not negate the main correct condition stated in the original answer. Since the core answer is conveyed, it is semantically equivalent enough."
Do I have to submit the project before submissions close to qualify for the certificate?,74eb249bbf,good,"The AI answer preserves the key point from the ground truth: to receive a certificate, the project must be submitted while submissions are still open. The added note about peer reviews is extra detail and does not conflict with the original answer."
Is it okay to start the course after it has already begun?,74eb249bbf,good,"The AI answer captures the main point that it is okay to start after the course has begun. It also mentions submitting work while the form is open, which is compatible with the ground truth requirement to submit the project while submissions are being accepted in order to receive a certificate. The extra details about videos, GitHub materials, and homework do not change the meaning."
What’s the deadline for project submission if I want the course certificate?,74eb249bbf,good,The AI answer captures the key point that the project must be submitted while submissions are still being accepted in order to receive the certificate. It does not add incorrect information; saying the exact deadline isn’t given is consistent with the original answer’s wording. Semantic meaning is preserved.
I signed up for LLM Zoomcamp but still haven’t gotten any confirmation email — am I supposed to wait for one before starting?,977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the student is accepted, registration is only for gauging interest, and they can start learning and submit homework while the form is open without needing to wait. This preserves all key points."
"Do I need an approval or confirmation message to begin the course, or can I just start the lessons and homework now?",977bf7786c,good,"The AI answer preserves the core meaning: no approval/confirmation is needed, the student is accepted, and they can start now. It omits the detail that homework can be submitted while the form is open without registering and that registration is only for gauging interest, but those are extra details rather than essential to the question asked."
"If I filled out the registration form, does that mean I’m officially accepted, or is there another list I need to be on?",977bf7786c,good,"The AI answer preserves the key meaning of the ground truth: filling out the registration form means you're accepted, there is no separate list, registration is only for gauging interest, and you can begin learning/submitting homework while the form is open. It is semantically equivalent."
Can I already submit homework for LLM Zoomcamp even if I never received any email after registering?,977bf7786c,good,"The AI answer conveys the same key points as the ground truth: the email is not required, homework can be submitted, and registration is not checked against a list. It omits a couple of minor details like 'you're accepted' and that registration is just to gauge interest, but those are not essential to the question."
What is the purpose of the registration form for the course if there’s no confirmation email and no checked signup list?,977bf7786c,good,"The AI answer matches the ground truth: it says the form is only to gauge interest, no confirmation email or checked signup list is needed, and the student is accepted and can begin learning/submitting homework while the form is open. This preserves the key points accurately."
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,489dd1c9d9,good,"The AI answer matches the ground truth: it says the Zoom link is only for instructors/presenters/TAs, students should use YouTube Live, questions go through Slido, and the link is posted in Telegram/Slack announcements and on the DataTalksClub YouTube channel. It omits the note about not posting questions in chat, but that is extra guidance rather than the core answer."
"Where do students watch the live stream for Office Hours sessions, and how do we ask questions during the session?",489dd1c9d9,good,"The AI answer matches the ground truth: students watch Office Hours via YouTube Live on the DataTalksClub YouTube Channel, and questions are submitted through Slido with the link pinned in chat. It also correctly warns not to post questions in chat. It omits the detail that the video URL is posted in the announcements channel on Telegram and Slack and that the Zoom link is only for instructors/presenters/TAs, but those omissions do not change the core answer to the question."
"Is the Zoom URL for workshop streams public, or is there another way to follow the event live?",489dd1c9d9,good,"The AI answer matches the ground truth: it says the Zoom URL is not public and only shared with instructors/presenters/TAs, and it correctly states that students can follow via YouTube Live, use Slido for questions, and check Telegram/Slack announcements for the video URL. It preserves the key information without error."
"Before an Office Hours session starts, where should I look for the video link announcement?",489dd1c9d9,good,"The AI answer correctly identifies the announcements channel on Telegram and Slack as the place where the video link is posted before the session begins. It omits extra details about YouTube Live, Slido, and instructor-only Zoom links, but those are not required for the question."
"If I’m attending a live course session, should I use the chat to ask questions or is there a better place to submit them?",489dd1c9d9,good,"The AI answer correctly states that students should use Slido rather than chat, and notes that the Slido link is pinned in the chat when live. This matches the core guidance in the ground truth. It omits some extra context about YouTube Live, Telegram/Slack announcements, and the zoom link being for instructors, but those are not required for the question asked."
"What’s the best way to begin the LLM Zoomcamp if I’m joining late, and where should I check for the schedule?",04919992b3,good,"The AI answer preserves the key points: join anytime, start with the docs/GitHub repo, and check the course management platform for schedule/deadlines. This is semantically equivalent to the ground truth, with no important omissions or errors."
"Can I start the course anytime, and what should I follow first: videos, notebooks, or the GitHub repo?",04919992b3,good,"The AI answer correctly says the course can be started anytime and includes the main workflow: docs/logistics, GitHub repo, videos, notebooks, homework instructions, and submission before deadlines. However, it introduces an extra claim that the GitHub repo should be followed first because it is usually the most up to date, which is not stated in the ground truth and slightly changes the recommended order. Still, the core information is preserved and the answer is largely semantically equivalent."
What does the usual weekly routine look like for this course from watching the lesson to submitting homework?,04919992b3,good,"The AI answer matches the ground truth's core workflow exactly: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit on the course platform before the deadline. It also correctly notes that homework is similar to the lesson flow but uses a different dataset or slightly different task. The extra omitted links and platform-start details are not essential to the question asked."
"Where do I find the official course docs, logistics info, and repo for LLM Zoomcamp?",04919992b3,good,"The AI answer correctly identifies the official course docs, logistics info, and GitHub repository links. It omits the extra details about starting anytime, deadlines, and workflow, but those are not required to answer the question asked. The core answer matches the ground truth."
"Is the homework basically the same as the lesson, or does it use a different dataset/task?",04919992b3,good,"The AI answer captures the key point that homework is similar to the lesson flow but uses a different dataset or slightly different task. It omits the surrounding logistics/resources, but those were not asked about and do not affect semantic equivalence for the question."
