question,answer_llm,answer_orig,document
"I just found this course — can I still join it now, or is it too late?","Yes — you can still join it now.  
If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I enroll late, will I still be able to get a certificate somehow?","Yes, but only if you submit your capstone project while the course is still accepting submissions and finish with the live cohort. You can’t get a certificate in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I have to submit the project before submissions close to qualify for the certificate?,"Yes. To qualify for the certificate, you need to submit your project while submissions are still open. Also, you must complete the required peer reviews of three peers in your cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it okay to start the course after it has already begun?,"Yes — you can start the course whenever you want, even after it has already begun. The videos, GitHub materials, and homework are available, and you can begin learning and submitting homework while the form is open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline for project submission if I want the course certificate?,"You need to submit your project while the course is still accepting submissions. The exact deadline isn’t given in the context.

","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for LLM Zoomcamp but still haven’t gotten any confirmation email — am I supposed to wait for one before starting?,"You don’t need to wait for a confirmation email. You’re accepted, and registration is only used to gauge interest before the start date. You can start learning and submit homework as long as the form is open, even if you never got an email.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Do I need an approval or confirmation message to begin the course, or can I just start the lessons and homework now?","You can just start the lessons and homework now — no approval or confirmation message is needed. You’re accepted, and the course materials and videos are available whenever you want to begin.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I filled out the registration form, does that mean I’m officially accepted, or is there another list I need to be on?","You’re officially accepted — there’s no separate list you need to be on. The registration form is just to gauge interest, and it isn’t checked against a registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I already submit homework for LLM Zoomcamp even if I never received any email after registering?,"Yes — you can start learning and submit homework even if you never received a confirmation email. According to the course info, you don’t need the email, and registration is not checked against a list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the purpose of the registration form for the course if there’s no confirmation email and no checked signup list?,"The registration form is only used to gauge interest before the course starts. You don’t need a confirmation email, and there isn’t a checked signup list—you're accepted automatically and can just start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,"The Zoom link is only shared with instructors, presenters, and TAs.

If you’re a student, join the live session via YouTube Live instead, and submit questions through Slido. The YouTube link is posted in the announcements channel on Telegram and Slack before the session starts, and you can also watch on the DataTalksClub YouTube channel.

","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
